supplier,model,type,image_input,action,catalog_source,lifecycle_source
Doubao,doubao-seedance-1-0-pro-fast-251015,text2video,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedance-1-5-pro-251215,text2video,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedance-2-0,text2video,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedance-2-0-fast,text2video,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedance-2-0-mini,text2video,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedance-2-5-260628,text2video,not_applicable,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedream-3-0-t2i-250415,text2image,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedream-4-0-250828,image_editing,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedream-4-5-251128,image_editing,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedream-5-0-260128,image_editing,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedream-5-0-pro-260628,image_editing,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,glm-4-7-251222,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
GLM,AutoGLM-Phone,vlm,yes,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,CharGLM-4,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,CodeGeeX-4,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,CogView-3-Flash,text2image,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,CogView-4,text2image,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,Embedding-2,embed,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,Embedding-3,embed,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4-Flash-250414,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4-FlashX-250414,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4-Long,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4-Voice,tts,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.1V-Thinking-Flash,vlm,yes,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.1V-Thinking-FlashX,vlm,yes,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.5-Air,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.5-AirX,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.5-Flash,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.6,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.6V,vlm,yes,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.6V-Flash,vlm,yes,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.7,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.7-Flash,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4.7-FlashX,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-4V-Flash,vlm,yes,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-5,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-5-Turbo,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-5.1,llm,no,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-5V-Turbo,vlm,yes,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-ASR-2512,stt,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-Image,text2image,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-TTS,tts,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,GLM-TTS-Clone,tts,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,Rerank,rerank,not_applicable,keep,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,glm-5.2,llm,no,add,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,glm-5.3,llm,no,add,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,glm-5.3-flash,llm,yes,add,https://docs.bigmodel.cn/cn/guide/start/model-overview,
GLM,glm-5.3-flashx,llm,yes,add,https://docs.bigmodel.cn/cn/guide/start/model-overview,
Kimi,kimi-k2-0711-preview,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2-0905-preview,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2-thinking,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2-thinking-turbo,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2-turbo-preview,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2.5,vlm,yes,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2.6,vlm,yes,keep,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2.7-code,llm,yes,add,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k2.7-code-highspeed,llm,yes,add,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,kimi-k3,llm,yes,add,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,moonshot-v1-128k,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,moonshot-v1-128k-vision-preview,vlm,yes,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,moonshot-v1-32k,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,moonshot-v1-32k-vision-preview,vlm,yes,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,moonshot-v1-8k,llm,no,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Kimi,moonshot-v1-8k-vision-preview,vlm,yes,remove,https://platform.kimi.com/docs/models,https://platform.kimi.com/docs/models
Minimax,M2-her,llm,no,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,MiniMax-M2.5,llm,no,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,MiniMax-M2.5-highspeed,llm,no,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,MiniMax-M2.7,llm,no,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,MiniMax-M2.7-highspeed,llm,no,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,MiniMax-M3,llm,yes,add,https://platform.minimax.io/docs/guides/models-intro,
Minimax,Speech-02-HD,tts,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,Speech-02-Turbo,tts,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,Speech-2.6-HD,tts,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,Speech-2.6-Turbo,tts,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,Speech-2.8-HD,tts,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,Speech-2.8-Turbo,tts,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,image-01,image_editing,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
Minimax,image-01-live,image_editing,not_applicable,keep,https://platform.minimax.io/docs/guides/models-intro,
OpenAI,gpt-4.1,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-4.1,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-4.1-mini,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-4.1-mini,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-4o-mini,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-4o-mini,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-4o-mini-transcribe,stt,not_applicable,keep,https://developers.openai.com/api/docs/models/gpt-4o-mini-transcribe,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-4o-transcribe,stt,not_applicable,keep,https://developers.openai.com/api/docs/models/gpt-4o-transcribe,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5-mini,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5-mini,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5-nano,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5-nano,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5-pro,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5-pro,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.1,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.1,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.2,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.2,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.2-pro,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.2-pro,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.4,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.4,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.4-mini,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.4-mini,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.4-nano,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.4-nano,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.4-pro,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.4-pro,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.5,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.5,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.5-pro,vlm,yes,keep,https://developers.openai.com/api/docs/models/gpt-5.5-pro,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.6-luna,llm,yes,add,https://developers.openai.com/api/docs/models/gpt-5.6-luna,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.6-sol,llm,yes,add,https://developers.openai.com/api/docs/models/gpt-5.6-sol,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-5.6-terra,llm,yes,add,https://developers.openai.com/api/docs/models/gpt-5.6-terra,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-6-astra,llm,yes,add,https://developers.openai.com/api/docs/models/gpt-6-astra,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-image-1.5,image_editing,not_applicable,keep,https://developers.openai.com/api/docs/models/gpt-image-1.5,https://developers.openai.com/api/docs/deprecations
OpenAI,gpt-image-2,image_editing,not_applicable,keep,https://developers.openai.com/api/docs/models/gpt-image-2,https://developers.openai.com/api/docs/deprecations
OpenAI,o3,vlm,yes,keep,https://developers.openai.com/api/docs/models/o3,https://developers.openai.com/api/docs/deprecations
OpenAI,rerank-multilingual-v3.0,rerank,not_applicable,remove,https://developers.openai.com/api/docs/models/rerank-multilingual-v3.0,https://developers.openai.com/api/docs/deprecations
OpenAI,text-embedding-3-large,embed,not_applicable,keep,https://developers.openai.com/api/docs/models/text-embedding-3-large,https://developers.openai.com/api/docs/deprecations
OpenAI,text-embedding-3-small,embed,not_applicable,keep,https://developers.openai.com/api/docs/models/text-embedding-3-small,https://developers.openai.com/api/docs/deprecations
OpenAI,text-embedding-ada-002,embed,not_applicable,keep,https://developers.openai.com/api/docs/models/text-embedding-ada-002,https://developers.openai.com/api/docs/deprecations
OpenAI,tts-1,tts,not_applicable,keep,https://developers.openai.com/api/docs/models/tts-1,https://developers.openai.com/api/docs/deprecations
OpenAI,tts-1-hd,tts,not_applicable,keep,https://developers.openai.com/api/docs/models/tts-1-hd,https://developers.openai.com/api/docs/deprecations
OpenAI,whisper-1,stt,not_applicable,keep,https://developers.openai.com/api/docs/models/whisper-1,https://developers.openai.com/api/docs/deprecations
OpenRouter,alibaba/wan-3.0,text2video,not_applicable,keep,https://openrouter.ai/alibaba/wan-3.0,https://openrouter.ai/api/v1/models
OpenRouter,anthropic/claude-fable-5.1,llm,yes,add,https://openrouter.ai/anthropic/claude-fable-5.1,https://openrouter.ai/api/v1/models
OpenRouter,anthropic/claude-opus-5,llm,yes,add,https://openrouter.ai/anthropic/claude-opus-5,https://openrouter.ai/api/v1/models
OpenRouter,anthropic/claude-sonnet-5,vlm,yes,keep,https://openrouter.ai/anthropic/claude-sonnet-5,https://openrouter.ai/api/v1/models
OpenRouter,black-forest-labs/flux-3-video,text2video,not_applicable,keep,https://openrouter.ai/black-forest-labs/flux-3-video,https://openrouter.ai/api/v1/models
OpenRouter,bytedance-seed/seedream-4.5,text2image,not_applicable,keep,https://openrouter.ai/bytedance-seed/seedream-4.5,https://openrouter.ai/api/v1/models
OpenRouter,bytedance-seed/seedream-5-0-lite,text2image,not_applicable,keep,https://openrouter.ai/bytedance-seed/seedream-5-0-lite,https://openrouter.ai/api/v1/models
OpenRouter,bytedance-seed/seedream-5-0-pro,text2image,not_applicable,keep,https://openrouter.ai/bytedance-seed/seedream-5-0-pro,https://openrouter.ai/api/v1/models
OpenRouter,bytedance/seedance-2.0-mini,text2video,not_applicable,keep,https://openrouter.ai/bytedance/seedance-2.0-mini,https://openrouter.ai/api/v1/models
OpenRouter,bytedance/seedance-2.5,text2video,not_applicable,keep,https://openrouter.ai/bytedance/seedance-2.5,https://openrouter.ai/api/v1/models
OpenRouter,deepgram/flux-tts:free,tts,not_applicable,keep,https://openrouter.ai/deepgram/flux-tts:free,https://openrouter.ai/api/v1/models
OpenRouter,deepgram/nova-3,stt,not_applicable,keep,https://openrouter.ai/deepgram/nova-3,https://openrouter.ai/api/v1/models
OpenRouter,deepseek/deepseek-v4-flash-vision-exp,vlm,yes,keep,https://openrouter.ai/deepseek/deepseek-v4-flash-vision-exp,https://openrouter.ai/api/v1/models
OpenRouter,deepseek/deepseek-v4-pro,llm,no,keep,https://openrouter.ai/deepseek/deepseek-v4-pro,https://openrouter.ai/api/v1/models
OpenRouter,fish-audio/s2.1-pro,tts,not_applicable,keep,https://openrouter.ai/fish-audio/s2.1-pro,https://openrouter.ai/api/v1/models
OpenRouter,google/gemini-3.7-flash,vlm,yes,keep,https://openrouter.ai/google/gemini-3.7-flash,https://openrouter.ai/api/v1/models
OpenRouter,liquid/lfm-2.5-embedding-350m:free,embed,not_applicable,keep,https://openrouter.ai/liquid/lfm-2.5-embedding-350m:free,https://openrouter.ai/api/v1/models
OpenRouter,microsoft/mai-voice-2-flash,tts,not_applicable,keep,https://openrouter.ai/microsoft/mai-voice-2-flash,https://openrouter.ai/api/v1/models
OpenRouter,minimax/minimax-m3,vlm,yes,keep,https://openrouter.ai/minimax/minimax-m3,https://openrouter.ai/api/v1/models
OpenRouter,minimax/minimax-m3:free,vlm,yes,keep,https://openrouter.ai/minimax/minimax-m3:free,https://openrouter.ai/api/v1/models
OpenRouter,mistralai/voxtral-mini-tts-2603,tts,not_applicable,keep,https://openrouter.ai/mistralai/voxtral-mini-tts-2603,https://openrouter.ai/api/v1/models
OpenRouter,mistralai/voxtral-small-24b-2507-stt,stt,not_applicable,keep,https://openrouter.ai/mistralai/voxtral-small-24b-2507-stt,https://openrouter.ai/api/v1/models
OpenRouter,moonshotai/kimi-k3,vlm,yes,keep,https://openrouter.ai/moonshotai/kimi-k3,https://openrouter.ai/api/v1/models
OpenRouter,nvidia/nemotron-3.5-lightning:free,llm,no,keep,https://openrouter.ai/nvidia/nemotron-3.5-lightning:free,https://openrouter.ai/api/v1/models
OpenRouter,openai/gpt-5.6-sol,vlm,yes,keep,https://openrouter.ai/openai/gpt-5.6-sol,https://openrouter.ai/api/v1/models
OpenRouter,openai/gpt-image-2,text2image,not_applicable,keep,https://openrouter.ai/openai/gpt-image-2,https://openrouter.ai/api/v1/models
OpenRouter,openai/whisper-large-v3,stt,not_applicable,keep,https://openrouter.ai/openai/whisper-large-v3,https://openrouter.ai/api/v1/models
OpenRouter,openai/whisper-large-v3-turbo,stt,not_applicable,keep,https://openrouter.ai/openai/whisper-large-v3-turbo,https://openrouter.ai/api/v1/models
OpenRouter,openrouter/auto,vlm,yes,keep,https://openrouter.ai/openrouter/auto,https://openrouter.ai/api/v1/models
OpenRouter,openrouter/free,vlm,yes,keep,https://openrouter.ai/openrouter/free,https://openrouter.ai/api/v1/models
OpenRouter,qwen/qwen-audio-3.0-tts-flash,tts,not_applicable,keep,https://openrouter.ai/qwen/qwen-audio-3.0-tts-flash,https://openrouter.ai/api/v1/models
OpenRouter,qwen/qwen-image-3-pro,text2image,not_applicable,keep,https://openrouter.ai/qwen/qwen-image-3-pro,https://openrouter.ai/api/v1/models
OpenRouter,qwen/qwen3-asr-1.7b,stt,not_applicable,keep,https://openrouter.ai/qwen/qwen3-asr-1.7b,https://openrouter.ai/api/v1/models
OpenRouter,qwen/qwen3.8-flash,vlm,yes,keep,https://openrouter.ai/qwen/qwen3.8-flash,https://openrouter.ai/api/v1/models
OpenRouter,qwen/qwen3.8-max,vlm,yes,remove,https://openrouter.ai/qwen/qwen3.8-max,https://openrouter.ai/api/v1/models
OpenRouter,qwen/qwen3.8-max-0902,vlm,yes,add,https://openrouter.ai/qwen/qwen3.8-max-0902,https://openrouter.ai/api/v1/models
OpenRouter,runway/gen-4.5,text2video,not_applicable,keep,https://openrouter.ai/runway/gen-4.5,https://openrouter.ai/api/v1/models
OpenRouter,thinkingmachines/inkling:free,vlm,yes,keep,https://openrouter.ai/thinkingmachines/inkling:free,https://openrouter.ai/api/v1/models
OpenRouter,x-ai/grok-4.6,vlm,yes,keep,https://openrouter.ai/x-ai/grok-4.6,https://openrouter.ai/api/v1/models
OpenRouter,x-ai/grok-imagine-image-2.0,text2image,not_applicable,keep,https://openrouter.ai/x-ai/grok-imagine-image-2.0,https://openrouter.ai/api/v1/models
OpenRouter,z-ai/glm-5.2:free,llm,no,keep,https://openrouter.ai/z-ai/glm-5.2:free,https://openrouter.ai/api/v1/models
OpenRouter,z-ai/glm-5.3,llm,no,keep,https://openrouter.ai/z-ai/glm-5.3,https://openrouter.ai/api/v1/models
OpenRouter,z-ai/glm-5.3-flash,llm,yes,keep,https://openrouter.ai/z-ai/glm-5.3-flash,https://openrouter.ai/api/v1/models
Qwen,Fun-ASR,stt,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,Gummy,stt,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,SenseVoice,stt,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,cosyvoice-v1,tts,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,cosyvoice-v2,tts,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,gte-rerank-v2,rerank,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,image-out-painting,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,multimodal-embedding-v1,cross_modal_embed,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,paraformer-v2,stt,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qvq-72b-preview,vlm,yes,remove,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qvq-max,vlm,yes,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qvq-plus,vlm,yes,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-audio-turbo,stt,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-flash,llm,no,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-flash-2025-07-28,llm,no,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image,text2image,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-2.0,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-2.0-2026-03-03,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-2.0-pro,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-2.0-pro-2026-03-03,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-2.0-pro-2026-04-22,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-edit,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-edit-max,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-edit-max-2026-01-16,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
Qwen,qwen-image-edit-plus,image_editing,not_applicable,keep,https://help.aliyun.com/zh/model-studio/models,https://help.aliyun.com/zh/model-studio/rate-limit
